2025-03-08 14:59:28 - INFO - Monitorowanie ruchu sieciowego uruchomione.
2025-03-08 14:59:28,284 - Monitorowanie ruchu sieciowego uruchomione.
2025-03-08 14:59:38 - INFO - 📊 Ruch: 1055 pakietów | 0.18 MB/s | Top 5 IP: [('10.0.2.15', 73393), ('80.51.46.34', 34272), ('10.0.2.3', 17207), ('146.59.9.198', 12348), ('20.73.149.220', 8506)]
2025-03-08 14:59:38,286 - 📊 Ruch: 1055 pakietów | 0.18 MB/s | Top 5 IP: [('10.0.2.15', 73393), ('80.51.46.34', 34272), ('10.0.2.3', 17207), ('146.59.9.198', 12348), ('20.73.149.220', 8506)]
2025-03-08 14:59:48 - INFO - 📊 Ruch: 7430 pakietów | 99.17 MB/s | Top 5 IP: [('195.149.236.58', 46020754), ('80.50.114.30', 27941391), ('217.98.231.126', 15737280), ('80.50.234.138', 14086801), ('10.0.2.15', 192473)]
2025-03-08 14:59:48,287 - 📊 Ruch: 7430 pakietów | 99.17 MB/s | Top 5 IP: [('195.149.236.58', 46020754), ('80.50.114.30', 27941391), ('217.98.231.126', 15737280), ('80.50.234.138', 14086801), ('10.0.2.15', 192473)]
2025-03-08 14:59:58 - INFO - 📊 Ruch: 15147 pakietów | 249.72 MB/s | Top 5 IP: [('195.149.236.58', 74970347), ('80.50.234.138', 65204536), ('80.50.114.30', 62894946), ('217.98.231.126', 58455682), ('10.0.2.15', 322045)]
2025-03-08 14:59:58,297 - 📊 Ruch: 15147 pakietów | 249.72 MB/s | Top 5 IP: [('195.149.236.58', 74970347), ('80.50.234.138', 65204536), ('80.50.114.30', 62894946), ('217.98.231.126', 58455682), ('10.0.2.15', 322045)]
2025-03-08 15:00:08 - INFO - 📊 Ruch: 20936 pakietów | 57.45 MB/s | Top 5 IP: [('10.0.2.15', 36649478), ('80.50.114.30', 6568961), ('80.50.234.138', 6503272), ('217.98.231.126', 5741510), ('195.149.236.58', 4774092)]
2025-03-08 15:00:08,305 - 📊 Ruch: 20936 pakietów | 57.45 MB/s | Top 5 IP: [('10.0.2.15', 36649478), ('80.50.114.30', 6568961), ('80.50.234.138', 6503272), ('217.98.231.126', 5741510), ('195.149.236.58', 4774092)]
2025-03-08 15:00:18 - INFO - 📊 Ruch: 19444 pakietów | 44.37 MB/s | Top 5 IP: [('10.0.2.15', 45470726), ('195.149.236.58', 356011), ('217.98.231.126', 246862), ('80.50.234.138', 226586), ('80.50.114.30', 213410)]
2025-03-08 15:00:18,307 - 📊 Ruch: 19444 pakietów | 44.37 MB/s | Top 5 IP: [('10.0.2.15', 45470726), ('195.149.236.58', 356011), ('217.98.231.126', 246862), ('80.50.234.138', 226586), ('80.50.114.30', 213410)]
2025-03-08 15:00:28 - INFO - 📊 Ruch: 201 pakietów | 0.03 MB/s | Top 5 IP: [('10.0.2.15', 17883), ('10.0.2.2', 5390), ('142.250.203.196', 4711), ('216.239.32.36', 3090), ('10.0.2.3', 440)]
2025-03-08 15:00:28,311 - 📊 Ruch: 201 pakietów | 0.03 MB/s | Top 5 IP: [('10.0.2.15', 17883), ('10.0.2.2', 5390), ('142.250.203.196', 4711), ('216.239.32.36', 3090), ('10.0.2.3', 440)]
2025-03-08 15:00:38 - INFO - 📊 Ruch: 253 pakietów | 0.03 MB/s | Top 5 IP: [('10.0.2.15', 21917), ('10.0.2.2', 10929), ('146.59.9.198', 306), ('20.73.149.220', 160), ('80.51.46.34', 153)]
2025-03-08 15:00:38,314 - 📊 Ruch: 253 pakietów | 0.03 MB/s | Top 5 IP: [('10.0.2.15', 21917), ('10.0.2.2', 10929), ('146.59.9.198', 306), ('20.73.149.220', 160), ('80.51.46.34', 153)]
2025-03-08 15:00:48 - INFO - 📊 Ruch: 161 pakietów | 0.01 MB/s | Top 5 IP: [('10.0.2.15', 9328), ('10.0.2.2', 4830), ('80.50.234.138', 60), ('217.98.231.126', 60)]
2025-03-08 15:00:48,321 - 📊 Ruch: 161 pakietów | 0.01 MB/s | Top 5 IP: [('10.0.2.15', 9328), ('10.0.2.2', 4830), ('80.50.234.138', 60), ('217.98.231.126', 60)]
2025-03-08 15:00:58 - INFO - 📊 Ruch: 282 pakietów | 0.25 MB/s | Top 5 IP: [('10.0.2.2', 244772), ('10.0.2.15', 18253), ('20.73.149.220', 371), ('80.50.234.138', 60), ('217.98.231.126', 60)]
2025-03-08 15:00:58,323 - 📊 Ruch: 282 pakietów | 0.25 MB/s | Top 5 IP: [('10.0.2.2', 244772), ('10.0.2.15', 18253), ('20.73.149.220', 371), ('80.50.234.138', 60), ('217.98.231.126', 60)]
2025-03-08 15:01:08 - INFO - 📊 Ruch: 184 pakietów | 0.02 MB/s | Top 5 IP: [('10.0.2.15', 10584), ('10.0.2.2', 5400), ('80.50.234.138', 60), ('217.98.231.126', 60)]
2025-03-08 15:01:08,328 - 📊 Ruch: 184 pakietów | 0.02 MB/s | Top 5 IP: [('10.0.2.15', 10584), ('10.0.2.2', 5400), ('80.50.234.138', 60), ('217.98.231.126', 60)]
2025-03-08 15:01:18 - INFO - 📊 Ruch: 202 pakietów | 0.02 MB/s | Top 5 IP: [('10.0.2.15', 11094), ('10.0.2.2', 5490), ('80.50.234.138', 240), ('217.98.231.126', 240), ('146.59.9.198', 153)]
2025-03-08 15:01:18,331 - 📊 Ruch: 202 pakietów | 0.02 MB/s | Top 5 IP: [('10.0.2.15', 11094), ('10.0.2.2', 5490), ('80.50.234.138', 240), ('217.98.231.126', 240), ('146.59.9.198', 153)]
2025-03-08 15:01:28 - INFO - 📊 Ruch: 176 pakietów | 0.02 MB/s | Top 5 IP: [('10.0.2.15', 10498), ('10.0.2.2', 5900)]
2025-03-08 15:01:28,332 - 📊 Ruch: 176 pakietów | 0.02 MB/s | Top 5 IP: [('10.0.2.15', 10498), ('10.0.2.2', 5900)]
2025-03-08 15:01:38 - INFO - 📊 Ruch: 168 pakietów | 0.01 MB/s | Top 5 IP: [('10.0.2.15', 9451), ('10.0.2.2', 4440), ('146.59.9.198', 306), ('80.51.46.34', 153), ('141.101.90.104', 153)]
2025-03-08 15:01:38,333 - 📊 Ruch: 168 pakietów | 0.01 MB/s | Top 5 IP: [('10.0.2.15', 9451), ('10.0.2.2', 4440), ('146.59.9.198', 306), ('80.51.46.34', 153), ('141.101.90.104', 153)]
2025-03-08 15:01:48 - INFO - 📊 Ruch: 183 pakietów | 0.02 MB/s | Top 5 IP: [('10.0.2.15', 10610), ('10.0.2.2', 5610)]
2025-03-08 15:01:48,338 - 📊 Ruch: 183 pakietów | 0.02 MB/s | Top 5 IP: [('10.0.2.15', 10610), ('10.0.2.2', 5610)]
2025-03-08 15:01:58 - INFO - 📊 Ruch: 171 pakietów | 0.01 MB/s | Top 5 IP: [('10.0.2.15', 9854), ('10.0.2.2', 5250)]
2025-03-08 15:01:58,342 - 📊 Ruch: 171 pakietów | 0.01 MB/s | Top 5 IP: [('10.0.2.15', 9854), ('10.0.2.2', 5250)]
2025-03-08 15:02:08 - INFO - 📊 Ruch: 204 pakietów | 0.03 MB/s | Top 5 IP: [('10.0.2.15', 12617), ('34.117.188.166', 10684), ('10.0.2.2', 5130), ('10.0.2.3', 1679), ('34.107.243.93', 138)]
2025-03-08 15:02:08,345 - 📊 Ruch: 204 pakietów | 0.03 MB/s | Top 5 IP: [('10.0.2.15', 12617), ('34.117.188.166', 10684), ('10.0.2.2', 5130), ('10.0.2.3', 1679), ('34.107.243.93', 138)]
